peppermint,dittany,lavender,ginger_root_width(mm),powdered_dragon_claw(mg),fluxweed(mg),drops_of_tree_wood_oil,fire_seed,rose_petal,daisy_root_width,daisy_root_height,water(ml),dragon_blood(ml),porcupine_quills,drops_of_red_wine,gillyweed(mg),honey(mg),morning_dew,ginger_root_height(mm),leech_juice(ml)
1.0,1.0,1.0,583.0,3.0,10.0,1014.0,1.0,0.0,6.0,9.0,1006.0,3.0,15.0,2.0,32.0,3.6,1.0,64.0,162.0
1.0,1.0,0.0,565.0,13.0,3.0,2301.0,0.0,0.0,11.0,21.0,1640.0,2.2,11.0,8.0,4.0,3.0,1.0,442.0,191.0
1.0,1.0,0.0,1442.0,13.0,6.0,2682.0,0.0,1.0,3.0,9.0,805.0,3.0,6.0,9.0,19.0,4.1,0.0,346.0,200.0
0.0,0.0,0.0,1811.0,22.0,4.0,3131.0,1.0,0.0,8.0,19.0,1290.0,2.1,4.0,17.0,52.0,4.8,0.0,1179.0,123.0
1.0,0.0,1.0,796.0,15.0,4.0,3686.0,1.0,0.0,9.0,11.0,1898.0,2.4,20.0,10.0,9.0,2.5,0.0,449.0,143.0
1.0,0.0,0.0,1795.0,14.0,4.0,1357.0,0.0,0.0,3.0,8.0,1023.0,2.7,16.0,9.0,11.0,3.3,1.0,903.0,194.0
0.0,0.0,0.0,965.0,5.0,4.0,2752.0,0.0,1.0,3.0,8.0,1213.0,2.3,16.0,2.0,30.0,3.2,1.0,60.0,132.0
1.0,0.0,1.0,1997.0,4.0,9.0,3156.0,1.0,0.0,13.0,16.0,846.0,2.9,9.0,3.0,24.0,4.2,0.0,779.0,199.0
1.0,1.0,1.0,1821.0,20.0,4.0,1658.0,0.0,0.0,5.0,7.0,1700.0,2.4,19.0,12.0,28.0,4.5,0.0,487.0,107.0
1.0,0.0,1.0,1588.0,22.0,5.0,2341.0,0.0,0.0,4.0,21.0,620.0,2.2,12.0,13.0,47.0,3.1,1.0,1177.0,190.0
1.0,0.0,1.0,1931.0,21.0,9.0,1970.0,1.0,1.0,9.0,14.0,1666.0,2.5,11.0,11.0,17.0,4.9,0.0,1180.0,179.0
0.0,0.0,0.0,1228.0,19.0,10.0,405.0,0.0,1.0,4.0,13.0,543.0,2.4,14.0,6.0,53.0,4.3,0.0,1014.0,202.0
0.0,0.0,0.0,730.0,15.0,9.0,3862.0,1.0,0.0,7.0,9.0,754.0,2.7,18.0,3.0,50.0,2.5,0.0,166.0,89.0
1.0,1.0,1.0,1431.0,15.0,8.0,2113.0,1.0,1.0,9.0,20.0,813.0,2.3,4.0,7.0,4.0,4.4,0.0,335.0,108.0
0.0,1.0,0.0,857.0,10.0,10.0,665.0,1.0,1.0,6.0,14.0,1144.0,2.7,7.0,8.0,8.0,3.4,1.0,536.0,192.0
0.0,0.0,0.0,648.0,5.0,4.0,1224.0,1.0,1.0,4.0,15.0,1722.0,2.1,9.0,2.0,21.0,2.7,0.0,411.0,139.0
1.0,1.0,1.0,808.0,22.0,6.0,2068.0,1.0,0.0,11.0,14.0,1765.0,2.2,19.0,3.0,55.0,4.9,1.0,140.0,103.0
1.0,0.0,1.0,884.0,10.0,4.0,313.0,0.0,0.0,7.0,20.0,1179.0,2.4,21.0,3.0,31.0,2.9,0.0,180.0,193.0
0.0,1.0,0.0,1246.0,22.0,6.0,806.0,0.0,1.0,16.0,19.0,1176.0,3.0,18.0,9.0,32.0,2.9,1.0,746.0,149.0
1.0,1.0,1.0,505.0,11.0,7.0,1340.0,1.0,1.0,10.0,18.0,1085.0,2.8,7.0,4.0,51.0,3.4,1.0,297.0,158.0
1.0,0.0,1.0,629.0,7.0,7.0,1888.0,0.0,0.0,6.0,19.0,1856.0,2.1,22.0,4.0,10.0,5.0,1.0,508.0,103.0
1.0,1.0,0.0,818.0,4.0,6.0,3037.0,1.0,1.0,9.0,14.0,974.0,3.0,21.0,3.0,7.0,4.7,0.0,689.0,128.0
1.0,1.0,1.0,822.0,16.0,5.0,3947.0,1.0,0.0,9.0,13.0,1431.0,2.9,20.0,2.0,42.0,3.5,0.0,248.0,102.0
1.0,0.0,0.0,1352.0,4.0,4.0,1416.0,1.0,1.0,3.0,14.0,882.0,2.7,9.0,2.0,35.0,3.7,1.0,32.0,175.0
0.0,1.0,0.0,824.0,9.0,6.0,1435.0,1.0,0.0,7.0,13.0,1951.0,2.3,22.0,6.0,49.0,4.6,0.0,409.0,201.0
1.0,1.0,1.0,1761.0,18.0,10.0,3972.0,0.0,1.0,10.0,18.0,1591.0,2.1,20.0,5.0,28.0,3.4,0.0,1675.0,102.0
1.0,0.0,1.0,690.0,22.0,7.0,3129.0,1.0,0.0,9.0,12.0,1150.0,2.3,13.0,2.0,60.0,4.3,0.0,608.0,172.0
1.0,1.0,1.0,1606.0,12.0,5.0,2576.0,1.0,0.0,6.0,14.0,1305.0,2.1,16.0,2.0,17.0,3.0,1.0,231.0,140.0
1.0,0.0,0.0,674.0,6.0,5.0,3659.0,0.0,0.0,5.0,19.0,625.0,2.1,21.0,4.0,8.0,4.0,1.0,146.0,129.0
0.0,1.0,0.0,908.0,7.0,5.0,754.0,0.0,1.0,10.0,19.0,1432.0,2.1,19.0,5.0,58.0,2.9,0.0,571.0,181.0
1.0,1.0,1.0,683.0,14.0,9.0,2612.0,1.0,0.0,5.0,14.0,1744.0,2.4,12.0,11.0,45.0,4.3,0.0,455.0,172.0
1.0,0.0,0.0,1522.0,16.0,3.0,2468.0,0.0,1.0,2.0,10.0,927.0,2.2,7.0,11.0,58.0,4.1,0.0,1264.0,198.0
1.0,0.0,1.0,1110.0,16.0,9.0,3706.0,0.0,0.0,8.0,10.0,1893.0,2.4,13.0,9.0,39.0,4.8,0.0,171.0,131.0
1.0,1.0,1.0,1783.0,9.0,10.0,3539.0,0.0,1.0,15.0,18.0,625.0,2.1,5.0,3.0,5.0,2.9,0.0,1751.0,104.0
0.0,0.0,0.0,1719.0,20.0,10.0,2191.0,0.0,0.0,7.0,9.0,604.0,2.9,18.0,11.0,52.0,2.9,1.0,1573.0,143.0
1.0,1.0,1.0,1898.0,9.0,7.0,3968.0,1.0,0.0,17.0,19.0,1287.0,2.8,4.0,6.0,13.0,2.8,1.0,1793.0,201.0
1.0,1.0,1.0,1838.0,9.0,10.0,3885.0,0.0,1.0,4.0,14.0,734.0,2.4,7.0,7.0,34.0,3.3,0.0,1663.0,165.0
0.0,0.0,0.0,806.0,2.0,9.0,2910.0,1.0,1.0,2.0,8.0,1075.0,2.5,20.0,2.0,53.0,2.5,1.0,692.0,147.0
1.0,0.0,1.0,559.0,10.0,3.0,665.0,0.0,0.0,14.0,15.0,510.0,2.3,9.0,9.0,44.0,2.8,0.0,41.0,96.0
0.0,1.0,0.0,1230.0,8.0,5.0,2511.0,1.0,0.0,4.0,19.0,512.0,2.8,13.0,5.0,37.0,3.7,1.0,384.0,122.0
1.0,1.0,1.0,1081.0,12.0,4.0,2756.0,0.0,0.0,12.0,21.0,1619.0,2.7,10.0,3.0,65.0,3.5,1.0,276.0,113.0
1.0,0.0,0.0,1214.0,10.0,6.0,1657.0,1.0,1.0,8.0,9.0,1999.0,2.5,17.0,3.0,42.0,3.8,0.0,868.0,187.0
0.0,1.0,0.0,518.0,16.0,4.0,2199.0,1.0,1.0,4.0,18.0,1286.0,2.9,11.0,2.0,12.0,4.8,1.0,162.0,157.0
1.0,0.0,0.0,1793.0,16.0,10.0,3589.0,1.0,1.0,7.0,12.0,1725.0,3.0,5.0,3.0,44.0,3.1,0.0,204.0,166.0
1.0,0.0,1.0,1670.0,5.0,7.0,1515.0,0.0,0.0,10.0,13.0,1444.0,2.7,9.0,2.0,58.0,4.2,1.0,1628.0,147.0
1.0,0.0,1.0,1086.0,2.0,3.0,2126.0,1.0,1.0,2.0,8.0,509.0,2.7,14.0,2.0,41.0,3.9,1.0,19.0,144.0
1.0,1.0,1.0,832.0,9.0,3.0,1756.0,1.0,0.0,13.0,19.0,720.0,2.8,11.0,2.0,23.0,2.7,0.0,520.0,90.0
1.0,0.0,1.0,1073.0,17.0,5.0,909.0,0.0,0.0,9.0,12.0,1116.0,2.4,19.0,6.0,11.0,4.8,1.0,1042.0,199.0
1.0,0.0,1.0,552.0,22.0,3.0,3803.0,0.0,1.0,8.0,12.0,627.0,2.2,4.0,14.0,35.0,3.9,0.0,433.0,193.0
1.0,1.0,1.0,689.0,7.0,3.0,1520.0,1.0,0.0,13.0,18.0,1267.0,2.5,10.0,6.0,51.0,2.6,0.0,277.0,92.0
1.0,1.0,1.0,521.0,19.0,9.0,1501.0,1.0,1.0,10.0,14.0,1658.0,2.1,21.0,10.0,40.0,2.5,0.0,508.0,107.0
1.0,0.0,1.0,1295.0,6.0,5.0,971.0,1.0,0.0,3.0,17.0,1036.0,2.3,9.0,4.0,47.0,4.6,0.0,184.0,192.0
1.0,1.0,1.0,1799.0,15.0,8.0,3892.0,0.0,0.0,12.0,19.0,1584.0,2.5,12.0,4.0,46.0,4.8,1.0,1488.0,114.0
1.0,1.0,1.0,1672.0,10.0,10.0,3841.0,0.0,1.0,5.0,19.0,1092.0,2.6,13.0,3.0,10.0,4.3,0.0,1219.0,130.0
1.0,1.0,1.0,1495.0,13.0,9.0,929.0,0.0,1.0,12.0,21.0,1841.0,2.5,20.0,11.0,56.0,3.2,0.0,477.0,202.0
1.0,0.0,1.0,1458.0,9.0,5.0,1631.0,0.0,0.0,14.0,17.0,1658.0,2.1,16.0,7.0,36.0,3.0,1.0,882.0,168.0
1.0,1.0,0.0,1916.0,10.0,5.0,1727.0,1.0,0.0,7.0,16.0,1099.0,2.2,11.0,8.0,66.0,4.1,0.0,421.0,163.0
0.0,1.0,0.0,881.0,6.0,9.0,1619.0,1.0,1.0,6.0,19.0,803.0,2.4,21.0,4.0,65.0,4.2,0.0,652.0,167.0
1.0,1.0,1.0,1704.0,21.0,7.0,2550.0,1.0,0.0,3.0,8.0,683.0,2.9,7.0,14.0,19.0,2.5,0.0,373.0,196.0
1.0,0.0,1.0,1242.0,15.0,3.0,1472.0,1.0,0.0,2.0,14.0,1156.0,2.2,14.0,4.0,7.0,3.1,0.0,541.0,100.0
1.0,1.0,0.0,1265.0,9.0,7.0,480.0,0.0,0.0,9.0,14.0,853.0,2.4,12.0,5.0,23.0,2.5,0.0,1173.0,202.0
1.0,0.0,1.0,772.0,2.0,7.0,3439.0,1.0,1.0,3.0,13.0,1608.0,2.9,4.0,2.0,35.0,2.5,0.0,159.0,202.0
1.0,1.0,1.0,982.0,18.0,7.0,3757.0,1.0,1.0,3.0,9.0,1720.0,2.1,10.0,16.0,8.0,4.5,1.0,566.0,185.0
1.0,1.0,1.0,1969.0,13.0,8.0,737.0,1.0,1.0,8.0,9.0,1853.0,2.9,16.0,5.0,14.0,3.9,0.0,295.0,200.0
1.0,1.0,1.0,1672.0,3.0,4.0,3123.0,1.0,1.0,4.0,20.0,866.0,2.7,18.0,2.0,56.0,5.0,1.0,129.0,189.0
1.0,1.0,1.0,1777.0,18.0,5.0,3143.0,0.0,1.0,4.0,8.0,1280.0,2.8,13.0,9.0,26.0,3.0,1.0,1354.0,172.0
1.0,0.0,1.0,1679.0,19.0,5.0,3763.0,1.0,0.0,3.0,15.0,938.0,2.1,14.0,16.0,16.0,2.5,0.0,152.0,166.0
0.0,0.0,0.0,1394.0,17.0,8.0,572.0,0.0,1.0,8.0,9.0,688.0,2.3,21.0,13.0,5.0,2.5,1.0,1111.0,93.0
1.0,0.0,1.0,524.0,19.0,4.0,2105.0,0.0,0.0,10.0,21.0,1594.0,2.1,9.0,8.0,52.0,4.1,0.0,512.0,183.0
1.0,1.0,1.0,801.0,5.0,8.0,678.0,1.0,0.0,2.0,17.0,1862.0,2.7,6.0,4.0,57.0,2.5,0.0,197.0,85.0
0.0,1.0,0.0,1864.0,17.0,4.0,3716.0,1.0,1.0,5.0,21.0,979.0,2.6,12.0,4.0,37.0,4.8,1.0,1504.0,167.0
1.0,0.0,1.0,1240.0,14.0,9.0,1771.0,0.0,1.0,3.0,12.0,625.0,2.3,18.0,8.0,28.0,2.8,0.0,486.0,199.0
1.0,1.0,1.0,875.0,19.0,8.0,2986.0,1.0,0.0,6.0,15.0,1644.0,2.3,19.0,18.0,10.0,2.5,0.0,131.0,173.0
1.0,0.0,0.0,924.0,21.0,9.0,573.0,1.0,1.0,9.0,10.0,1973.0,2.3,19.0,2.0,42.0,2.5,1.0,487.0,188.0
1.0,0.0,0.0,1984.0,20.0,5.0,3748.0,1.0,0.0,2.0,12.0,1513.0,2.2,7.0,5.0,23.0,4.5,0.0,1457.0,116.0
1.0,1.0,1.0,1535.0,15.0,7.0,2947.0,1.0,1.0,7.0,12.0,1483.0,2.6,18.0,6.0,39.0,2.7,1.0,118.0,98.0
1.0,0.0,0.0,1953.0,17.0,3.0,2777.0,0.0,1.0,6.0,16.0,1855.0,2.4,19.0,4.0,25.0,3.0,0.0,204.0,94.0
1.0,1.0,0.0,1314.0,12.0,3.0,279.0,1.0,0.0,4.0,13.0,1115.0,2.3,14.0,2.0,27.0,2.6,0.0,1049.0,147.0
1.0,0.0,1.0,1618.0,21.0,6.0,2595.0,1.0,0.0,13.0,16.0,1001.0,2.2,18.0,13.0,66.0,4.9,1.0,1399.0,201.0
0.0,0.0,0.0,736.0,8.0,7.0,3065.0,1.0,0.0,15.0,19.0,804.0,2.6,6.0,5.0,45.0,2.5,1.0,529.0,155.0
1.0,0.0,1.0,954.0,3.0,3.0,463.0,0.0,1.0,5.0,9.0,1433.0,2.6,10.0,2.0,58.0,2.5,0.0,158.0,193.0
0.0,0.0,0.0,985.0,4.0,6.0,1810.0,0.0,1.0,10.0,14.0,1430.0,2.1,15.0,2.0,9.0,3.6,1.0,586.0,155.0
1.0,1.0,0.0,1913.0,6.0,6.0,3963.0,1.0,1.0,16.0,18.0,1591.0,2.1,16.0,4.0,60.0,4.2,0.0,959.0,130.0
1.0,0.0,1.0,795.0,2.0,9.0,1068.0,0.0,0.0,3.0,13.0,767.0,2.1,18.0,2.0,20.0,4.9,1.0,8.0,155.0
1.0,1.0,0.0,1932.0,2.0,4.0,661.0,1.0,1.0,11.0,16.0,1568.0,2.5,15.0,2.0,22.0,2.5,1.0,1605.0,128.0
0.0,0.0,0.0,859.0,11.0,7.0,1421.0,0.0,1.0,13.0,14.0,712.0,2.8,20.0,8.0,34.0,2.5,1.0,487.0,153.0
0.0,1.0,0.0,1018.0,16.0,3.0,1303.0,0.0,0.0,14.0,15.0,1312.0,2.4,21.0,2.0,35.0,3.4,0.0,808.0,107.0
1.0,1.0,0.0,1041.0,22.0,6.0,1888.0,1.0,1.0,2.0,18.0,1212.0,2.5,19.0,11.0,59.0,3.6,0.0,331.0,113.0
1.0,1.0,1.0,1107.0,17.0,8.0,351.0,0.0,1.0,12.0,18.0,881.0,2.7,4.0,13.0,16.0,4.5,0.0,405.0,85.0
1.0,1.0,1.0,1071.0,14.0,3.0,1739.0,1.0,1.0,7.0,10.0,991.0,2.7,12.0,6.0,57.0,3.8,0.0,48.0,126.0
0.0,1.0,0.0,1783.0,5.0,5.0,1326.0,1.0,1.0,5.0,9.0,1229.0,2.2,14.0,2.0,36.0,3.1,1.0,937.0,132.0
0.0,1.0,0.0,1580.0,2.0,6.0,3874.0,1.0,1.0,4.0,12.0,1418.0,2.1,9.0,2.0,22.0,3.8,0.0,1177.0,95.0
1.0,0.0,1.0,1651.0,9.0,5.0,2032.0,1.0,0.0,2.0,9.0,1676.0,2.2,8.0,2.0,54.0,4.8,0.0,1434.0,91.0
1.0,0.0,1.0,1306.0,14.0,6.0,3271.0,0.0,0.0,8.0,21.0,1332.0,2.8,10.0,8.0,54.0,2.9,1.0,464.0,86.0
1.0,0.0,1.0,615.0,15.0,3.0,724.0,1.0,0.0,7.0,8.0,1993.0,2.7,12.0,3.0,44.0,4.2,1.0,368.0,84.0
0.0,0.0,0.0,1457.0,18.0,10.0,570.0,1.0,1.0,13.0,14.0,1449.0,2.2,10.0,4.0,11.0,4.5,0.0,739.0,157.0
1.0,0.0,1.0,1294.0,12.0,4.0,1783.0,0.0,1.0,5.0,20.0,1711.0,2.8,19.0,10.0,60.0,2.8,0.0,958.0,138.0
1.0,0.0,1.0,1413.0,2.0,6.0,2317.0,1.0,0.0,3.0,12.0,1637.0,2.6,4.0,2.0,4.0,4.6,1.0,1211.0,184.0
1.0,0.0,1.0,982.0,17.0,5.0,775.0,1.0,1.0,9.0,19.0,1285.0,3.0,4.0,10.0,35.0,4.4,1.0,512.0,95.0
1.0,0.0,0.0,684.0,17.0,10.0,2371.0,1.0,1.0,2.0,9.0,1991.0,2.1,20.0,10.0,19.0,4.9,1.0,631.0,195.0
1.0,1.0,1.0,1505.0,8.0,8.0,1884.0,1.0,0.0,8.0,18.0,1290.0,2.2,12.0,5.0,63.0,2.5,0.0,990.0,117.0
1.0,1.0,1.0,1740.0,11.0,7.0,3758.0,1.0,1.0,7.0,19.0,686.0,3.0,14.0,5.0,65.0,2.9,1.0,161.0,159.0
1.0,0.0,1.0,767.0,3.0,8.0,2526.0,0.0,0.0,13.0,15.0,1533.0,2.4,9.0,2.0,62.0,4.0,0.0,627.0,164.0
1.0,1.0,1.0,886.0,18.0,8.0,753.0,1.0,0.0,13.0,21.0,884.0,2.2,10.0,11.0,30.0,2.7,0.0,250.0,153.0
1.0,1.0,1.0,1350.0,14.0,8.0,2754.0,1.0,1.0,4.0,17.0,1375.0,2.9,9.0,3.0,31.0,3.9,1.0,1222.0,143.0
1.0,0.0,0.0,1256.0,12.0,6.0,1976.0,0.0,1.0,3.0,16.0,957.0,2.6,20.0,4.0,4.0,2.5,1.0,430.0,157.0
1.0,1.0,1.0,1207.0,13.0,6.0,2054.0,1.0,0.0,5.0,7.0,985.0,2.1,8.0,2.0,47.0,2.6,0.0,950.0,132.0
0.0,0.0,0.0,1812.0,14.0,4.0,1651.0,1.0,0.0,3.0,8.0,504.0,2.2,16.0,9.0,39.0,3.5,1.0,707.0,201.0
1.0,0.0,0.0,1408.0,12.0,4.0,1946.0,1.0,1.0,8.0,18.0,816.0,2.8,14.0,4.0,43.0,3.1,0.0,1094.0,179.0
1.0,0.0,1.0,1584.0,12.0,10.0,1436.0,0.0,1.0,2.0,7.0,1130.0,2.9,13.0,11.0,48.0,3.1,0.0,753.0,137.0
1.0,1.0,1.0,1561.0,19.0,8.0,3354.0,1.0,1.0,3.0,11.0,1561.0,2.5,5.0,8.0,8.0,3.6,1.0,181.0,164.0
1.0,1.0,0.0,976.0,5.0,9.0,2408.0,1.0,0.0,12.0,15.0,1715.0,2.9,22.0,3.0,29.0,4.5,0.0,731.0,129.0
1.0,1.0,1.0,1735.0,10.0,9.0,2801.0,1.0,1.0,5.0,7.0,722.0,2.6,17.0,2.0,63.0,3.4,0.0,1349.0,98.0
1.0,1.0,1.0,903.0,5.0,8.0,1078.0,1.0,1.0,10.0,18.0,1361.0,2.5,6.0,3.0,60.0,2.5,1.0,448.0,109.0
1.0,0.0,1.0,1296.0,15.0,5.0,667.0,1.0,1.0,2.0,12.0,563.0,2.1,6.0,9.0,4.0,4.1,1.0,1057.0,195.0
0.0,0.0,0.0,893.0,4.0,6.0,1278.0,0.0,1.0,6.0,21.0,1807.0,2.2,19.0,2.0,31.0,2.5,1.0,760.0,184.0
1.0,1.0,1.0,1653.0,14.0,9.0,3902.0,0.0,1.0,18.0,20.0,1435.0,2.9,4.0,10.0,29.0,4.3,0.0,1621.0,155.0
1.0,0.0,1.0,1535.0,17.0,7.0,2245.0,1.0,1.0,12.0,14.0,1564.0,2.2,8.0,3.0,9.0,3.3,0.0,644.0,192.0
1.0,0.0,1.0,512.0,13.0,10.0,2439.0,0.0,1.0,2.0,16.0,1995.0,2.3,11.0,12.0,29.0,2.5,0.0,152.0,149.0
0.0,1.0,0.0,1704.0,13.0,5.0,2979.0,0.0,0.0,3.0,8.0,584.0,2.7,22.0,10.0,34.0,2.5,1.0,1045.0,109.0
1.0,1.0,1.0,707.0,2.0,5.0,1213.0,0.0,1.0,12.0,17.0,538.0,2.7,9.0,2.0,55.0,3.4,0.0,549.0,137.0
1.0,0.0,1.0,1117.0,18.0,8.0,3744.0,0.0,0.0,5.0,15.0,1566.0,2.1,15.0,7.0,28.0,3.4,1.0,119.0,131.0
0.0,0.0,0.0,1180.0,13.0,9.0,358.0,0.0,1.0,5.0,7.0,1951.0,2.3,21.0,9.0,59.0,3.4,0.0,953.0,147.0
1.0,0.0,1.0,1133.0,21.0,5.0,2364.0,0.0,1.0,4.0,19.0,1749.0,2.7,21.0,8.0,50.0,2.9,1.0,949.0,96.0
1.0,1.0,1.0,753.0,14.0,3.0,1419.0,0.0,1.0,6.0,12.0,960.0,2.4,21.0,11.0,62.0,3.6,0.0,732.0,202.0
1.0,1.0,1.0,1291.0,12.0,10.0,2018.0,1.0,1.0,12.0,15.0,932.0,2.9,18.0,6.0,6.0,3.0,1.0,1019.0,146.0
0.0,0.0,0.0,609.0,9.0,4.0,3864.0,1.0,1.0,12.0,19.0,783.0,2.2,11.0,3.0,66.0,3.3,0.0,370.0,90.0
0.0,1.0,0.0,1805.0,18.0,8.0,2673.0,0.0,0.0,12.0,17.0,1778.0,2.9,14.0,4.0,22.0,4.2,1.0,1565.0,84.0
1.0,1.0,1.0,1457.0,18.0,5.0,2574.0,0.0,0.0,7.0,18.0,1112.0,2.1,18.0,6.0,43.0,3.5,0.0,802.0,154.0
1.0,0.0,1.0,1950.0,10.0,8.0,267.0,1.0,0.0,2.0,10.0,1067.0,2.3,14.0,6.0,50.0,3.7,0.0,1190.0,164.0
0.0,0.0,0.0,1013.0,22.0,9.0,1884.0,0.0,1.0,3.0,16.0,1252.0,2.2,16.0,10.0,46.0,3.4,0.0,705.0,184.0
1.0,1.0,1.0,1198.0,4.0,10.0,1052.0,1.0,1.0,11.0,13.0,795.0,2.3,5.0,2.0,45.0,3.9,1.0,17.0,126.0
1.0,0.0,1.0,1737.0,18.0,4.0,2175.0,0.0,0.0,5.0,14.0,1633.0,2.5,10.0,4.0,15.0,2.5,1.0,962.0,168.0
1.0,1.0,1.0,644.0,21.0,7.0,595.0,1.0,1.0,19.0,21.0,852.0,2.5,12.0,8.0,31.0,3.6,0.0,406.0,135.0
1.0,0.0,1.0,1002.0,19.0,8.0,3811.0,0.0,1.0,14.0,19.0,1928.0,2.2,19.0,15.0,52.0,3.1,1.0,373.0,181.0
1.0,0.0,1.0,1851.0,22.0,8.0,1251.0,1.0,0.0,4.0,18.0,1717.0,2.6,6.0,11.0,17.0,4.6,1.0,116.0,122.0
1.0,0.0,1.0,1519.0,5.0,5.0,2983.0,1.0,0.0,5.0,9.0,555.0,2.5,16.0,4.0,25.0,2.5,0.0,995.0,121.0
1.0,0.0,1.0,1617.0,19.0,10.0,627.0,1.0,0.0,8.0,19.0,1717.0,2.5,15.0,6.0,33.0,3.0,0.0,640.0,85.0
1.0,0.0,1.0,1573.0,20.0,9.0,470.0,0.0,0.0,15.0,21.0,1068.0,2.9,8.0,4.0,9.0,2.6,1.0,1244.0,116.0
0.0,1.0,0.0,1349.0,3.0,9.0,2391.0,1.0,0.0,5.0,9.0,1398.0,2.1,17.0,2.0,48.0,4.4,0.0,1193.0,140.0
1.0,1.0,1.0,1091.0,21.0,6.0,2348.0,0.0,0.0,14.0,15.0,503.0,2.3,4.0,14.0,56.0,4.3,0.0,506.0,133.0
1.0,0.0,1.0,1884.0,18.0,10.0,3566.0,0.0,0.0,3.0,14.0,1924.0,2.6,19.0,17.0,44.0,2.5,0.0,727.0,155.0
0.0,0.0,0.0,1778.0,3.0,10.0,2098.0,0.0,1.0,5.0,17.0,1564.0,2.1,5.0,2.0,57.0,2.7,0.0,1034.0,142.0
1.0,1.0,1.0,685.0,6.0,7.0,2912.0,1.0,0.0,15.0,17.0,1065.0,3.0,11.0,4.0,50.0,3.4,1.0,129.0,130.0
1.0,1.0,1.0,1643.0,18.0,5.0,284.0,1.0,1.0,11.0,12.0,1593.0,3.0,16.0,6.0,54.0,4.2,1.0,550.0,163.0
1.0,1.0,0.0,1471.0,22.0,4.0,683.0,0.0,0.0,20.0,21.0,1085.0,2.9,21.0,8.0,54.0,3.0,1.0,927.0,128.0
1.0,0.0,1.0,1921.0,2.0,6.0,3847.0,1.0,1.0,2.0,9.0,1312.0,2.6,14.0,2.0,53.0,4.2,1.0,180.0,102.0
0.0,0.0,0.0,1619.0,8.0,3.0,1131.0,1.0,1.0,3.0,14.0,1283.0,2.3,8.0,2.0,30.0,4.3,1.0,1287.0,150.0
1.0,0.0,0.0,1705.0,6.0,5.0,952.0,0.0,0.0,11.0,19.0,570.0,2.3,11.0,3.0,38.0,4.0,0.0,183.0,181.0
0.0,1.0,0.0,1295.0,6.0,3.0,1952.0,0.0,0.0,4.0,13.0,1134.0,2.1,8.0,2.0,10.0,3.0,1.0,1093.0,159.0
1.0,1.0,1.0,1366.0,4.0,8.0,1305.0,1.0,1.0,6.0,10.0,576.0,2.5,4.0,2.0,28.0,4.0,0.0,384.0,120.0
1.0,0.0,0.0,792.0,12.0,6.0,1382.0,0.0,0.0,7.0,16.0,1764.0,2.1,16.0,9.0,62.0,2.7,0.0,645.0,159.0
1.0,0.0,1.0,792.0,6.0,7.0,3210.0,0.0,0.0,11.0,13.0,1496.0,2.8,6.0,5.0,47.0,3.6,0.0,451.0,160.0
1.0,0.0,1.0,1680.0,8.0,7.0,2016.0,0.0,0.0,11.0,13.0,993.0,2.3,12.0,4.0,14.0,4.0,0.0,1211.0,160.0
0.0,1.0,0.0,1308.0,22.0,10.0,2318.0,0.0,1.0,4.0,21.0,1768.0,2.5,8.0,3.0,31.0,3.3,0.0,441.0,196.0
1.0,0.0,0.0,1711.0,12.0,8.0,2004.0,1.0,1.0,10.0,19.0,1037.0,3.0,7.0,10.0,13.0,3.9,1.0,833.0,175.0
0.0,0.0,0.0,550.0,20.0,6.0,920.0,0.0,0.0,3.0,11.0,603.0,2.3,14.0,6.0,28.0,4.1,0.0,511.0,103.0
0.0,0.0,0.0,1744.0,12.0,7.0,3298.0,1.0,0.0,8.0,19.0,1697.0,2.4,16.0,3.0,36.0,4.3,0.0,715.0,86.0
1.0,1.0,1.0,656.0,9.0,10.0,2171.0,1.0,1.0,7.0,8.0,710.0,3.0,9.0,2.0,65.0,4.7,1.0,80.0,197.0
1.0,0.0,1.0,1260.0,11.0,5.0,2523.0,1.0,1.0,7.0,8.0,1308.0,2.4,18.0,4.0,35.0,4.1,0.0,869.0,176.0
1.0,0.0,1.0,1332.0,19.0,5.0,3916.0,0.0,0.0,15.0,19.0,1616.0,2.3,15.0,10.0,57.0,3.9,0.0,862.0,190.0
1.0,0.0,1.0,1749.0,9.0,4.0,3788.0,0.0,0.0,14.0,19.0,1029.0,2.9,14.0,4.0,66.0,2.5,0.0,1700.0,105.0
1.0,1.0,0.0,1598.0,8.0,10.0,852.0,1.0,1.0,3.0,7.0,1902.0,2.5,6.0,3.0,43.0,4.0,1.0,914.0,192.0
0.0,0.0,0.0,1997.0,8.0,7.0,3846.0,0.0,0.0,10.0,13.0,1553.0,2.1,6.0,6.0,53.0,3.1,1.0,1740.0,90.0
1.0,1.0,0.0,1226.0,4.0,9.0,3819.0,0.0,0.0,9.0,10.0,934.0,2.7,11.0,3.0,66.0,3.3,1.0,1178.0,156.0
1.0,1.0,1.0,1706.0,20.0,10.0,3311.0,0.0,0.0,5.0,17.0,1166.0,2.9,5.0,6.0,21.0,3.0,0.0,731.0,97.0
1.0,1.0,1.0,676.0,11.0,4.0,1174.0,1.0,1.0,13.0,14.0,1691.0,2.9,19.0,2.0,15.0,4.4,1.0,523.0,170.0
